id,label,vertex.id,team,onset,onset.censored,terminus,terminus.censored,duration
Acie Law,Acie Law,1,ATL,,FALSE,,FALSE,
Adam Keefe,Adam Keefe,2,ATL,,FALSE,,FALSE,
Adreian Payne,Adreian Payne,3,ATL,,FALSE,,FALSE,
Al Ferrari,Al Ferrari,4,ATL,,FALSE,,FALSE,
Al Harrington,Al Harrington,5,ATL,,FALSE,,FALSE,
Al Horford,Al Horford,6,ATL,,FALSE,,FALSE,
Al Masino,Al Masino,7,ATL,,FALSE,,FALSE,
Al Wood,Al Wood,8,ATL,,FALSE,,FALSE,
Alan Henderson,Alan Henderson,9,ATL,,FALSE,,FALSE,
Alex Hannum,Alex Hannum,10,ATL,,FALSE,,FALSE,
Alex Len,Alex Len,11,ATL,,FALSE,,FALSE,
Alex Poythress,Alex Poythress,12,ATL,,FALSE,,FALSE,
Alex Stivrins,Alex Stivrins,13,ATL,,FALSE,,FALSE,
Alexander Volkov,Alexander Volkov,14,ATL,,FALSE,,FALSE,
Amal McCaskill,Amal McCaskill,15,ATL,,FALSE,,FALSE,
Andre Spencer,Andre Spencer,16,ATL,,FALSE,,FALSE,
Andrew Lang,Andrew Lang,17,ATL,,FALSE,,FALSE,
Andrew Levane,Andrew Levane,18,ATL,,FALSE,,FALSE,
Andrew White,Andrew White,19,ATL,,FALSE,,FALSE,
Andy Panko,Andy Panko,20,ATL,,FALSE,,FALSE,
Anthony Grundy,Anthony Grundy,21,ATL,,FALSE,,FALSE,
Anthony Johnson,Anthony Johnson,22,ATL,,FALSE,,FALSE,
Anthony Miller,Anthony Miller,23,ATL,,FALSE,,FALSE,
Anthony Morrow,Anthony Morrow,24,ATL,,FALSE,,FALSE,
Anthony Tolliver,Anthony Tolliver,25,ATL,,FALSE,,FALSE,
Antoine Carr,Antoine Carr,26,ATL,,FALSE,,FALSE,
Antoine Walker,Antoine Walker,27,ATL,,FALSE,,FALSE,
Antonio Harvey,Antonio Harvey,28,ATL,,FALSE,,FALSE,
Antonius Cleveland,Antonius Cleveland,29,ATL,,FALSE,,FALSE,
Archie Dees,Archie Dees,30,ATL,,FALSE,,FALSE,
Armond Hill,Armond Hill,31,ATL,,FALSE,,FALSE,
Art Burris,Art Burris,32,ATL,,FALSE,,FALSE,
Art Collins,Art Collins,33,ATL,,FALSE,,FALSE,
Austin Daye,Austin Daye,34,ATL,,FALSE,,FALSE,
B.J. Johnson,B.J. Johnson,35,ATL,,FALSE,,FALSE,
Barney Cable,Barney Cable,36,ATL,,FALSE,,FALSE,
Bevo Nordmann,Bevo Nordmann,37,ATL,,FALSE,,FALSE,
Bill Bridges,Bill Bridges,38,ATL,,FALSE,,FALSE,
Bill Calhoun,Bill Calhoun,39,ATL,,FALSE,,FALSE,
Bill Henry,Bill Henry,40,ATL,,FALSE,,FALSE,
Bill McGill,Bill McGill,41,ATL,,FALSE,,FALSE,
Bill Tosheff,Bill Tosheff,42,ATL,,FALSE,,FALSE,
Bill Willoughby,Bill Willoughby,43,ATL,,FALSE,,FALSE,
Billy Hassett,Billy Hassett,44,ATL,,FALSE,,FALSE,
Billy Paultz,Billy Paultz,45,ATL,,FALSE,,FALSE,
Bimbo Coles,Bimbo Coles,46,ATL,,FALSE,,FALSE,
Blair Rasmussen,Blair Rasmussen,47,ATL,,FALSE,,FALSE,
Bob Carpenter,Bob Carpenter,48,ATL,,FALSE,,FALSE,
Bob Christian,Bob Christian,49,ATL,,FALSE,,FALSE,
Bob Joseph Duffy,Bob Joseph Duffy,50,ATL,,FALSE,,FALSE,
Bob Ferry,Bob Ferry,51,ATL,,FALSE,,FALSE,
Bob Harrison,Bob Harrison,52,ATL,,FALSE,,FALSE,
Bob Houbregs,Bob Houbregs,53,ATL,,FALSE,,FALSE,
Bob Kauffman,Bob Kauffman,54,ATL,,FALSE,,FALSE,
Bob Lavoy,Bob Lavoy,55,ATL,,FALSE,,FALSE,
Bob Peterson,Bob Peterson,56,ATL,,FALSE,,FALSE,
Bob Pettit,Bob Pettit,57,ATL,,FALSE,,FALSE,
Bob Riley,Bob Riley,58,ATL,,FALSE,,FALSE,
Bob Schafer,Bob Schafer,59,ATL,,FALSE,,FALSE,
Bob Sims,Bob Sims,60,ATL,,FALSE,,FALSE,
Bob Sura,Bob Sura,61,ATL,,FALSE,,FALSE,
Bob Wilson,Bob Wilson,62,ATL,,FALSE,,FALSE,
Bobby Watson,Bobby Watson,63,ATL,,FALSE,,FALSE,
Boris Diaw,Boris Diaw,64,ATL,,FALSE,,FALSE,
